fecha;LTM CI Equity;SQM/B CI Equity;COPEC CI Equity;SALFACORP CI Equity;VAPORES CI Equity;CAP CI Equity;BSAN CI Equity;CMPC CI Equity;FALAB CI Equity
18-07-2019;6720;20449;7001;833;22,68;7410;51,2;1815;4425
19-07-2019;6689,6;21100;6850;817,99;22,88;7498,8;51,9;1800;4399
22-07-2019;6735,8;21290;6844,8;824,95;22,79;7330;51,27;1805,8;4394
23-07-2019;6675;21279;6673;800,11;22,58;7270;50,92;1755,6;4410
24-07-2019;6749,9;21079;6531;783;23;7184;51,01;1699;4410
25-07-2019;6680,1;20900;6438;787,51;22,8;7298;51,8;1623;4470
26-07-2019;6765;20901;6461;783,83;23,25;7300;51,14;1655,3;4390
29-07-2019;6891;20680;6487,4;785,3;23,73;7235;51,7;1654;4395
30-07-2019;6852;20876;6633,5;780,12;23,8;7299,8;51,13;1674;4405
31-07-2019;6710;20650;6460;772;23,9;7219,9;50,98;1651;4350
01-08-2019;6675;19650;6336,2;749,94;23,9;7102,6;51;1610;4375
02-08-2019;6510;19263;6230;729,54;23,55;7111,1;50,8;1575,1;4345
05-08-2019;6249,9;18999;6049;704,96;22,09;6751;49,72;1550;4260,1
06-08-2019;6201;18610;6050;701;22,07;6840;49,19;1552,3;4250,1
07-08-2019;6227,3;19200;6070;700;23,5;6820;50;1601,1;4220
08-08-2019;6550;20331;6415;711,05;24,2;7050;50,4;1680;4280
09-08-2019;6850;20380;6351;705,88;24,85;6890;50,62;1682;4250
12-08-2019;6571;19535;6370;690;24,12;6800;50,28;1690;4205
13-08-2019;6551,4;19405;6500;694,3;24,54;6896;50,1;1725;4270
14-08-2019;6180;18800;6326,1;685,44;24,34;6689,5;49,67;1655;4200
15-08-2019;6180;18800;6326,1;685,44;24,34;6689,5;49,67;1655;4200
16-08-2019;6210,4;19015;6263;700;24,52;6670;50,6;1630;4200
19-08-2019;6291;18900;6265;705;24,61;6570;50,78;1610;4150,2
20-08-2019;6105;18611;6349,8;685;24,79;6500;50,48;1601;4170
21-08-2019;6123,1;18250;6261,1;682,35;24,69;6500;50,52;1603,1;4240
22-08-2019;6011;16971;6100;675;24,95;6300;50,7;1571,1;4200
23-08-2019;5756;16530;6025;662,76;23,69;5961;50;1535;4115
26-08-2019;5680;16421;5979,8;659;22,95;5550;50,25;1510;4050
27-08-2019;5580;16640;6000;651,19;22,8;5570;50;1507;3978
28-08-2019;5579;16969;6028;639,92;22,7;5299,9;49,86;1550;3920
29-08-2019;5818,7;17500;6241,1;620;23,15;5599,1;50,27;1626,1;3999
